,Year-Month,Sea ice conc (%)
0,2000-01,21.963620933086208
1,2000-02,26.162398755261876
2,2000-03,25.446086521232406
3,2000-04,26.300479335773783
4,2000-05,23.55818470732597
5,2000-06,20.121528993580565
6,2000-07,16.543986281466115
7,2000-08,12.693438207554435
8,2000-09,13.026874157780254
9,2000-10,14.829309298516733
10,2000-11,16.919098307602525
11,2000-12,22.143767786089448
12,2001-01,24.809703860391327
13,2001-02,27.882527227666493
14,2001-03,32.72570299784878
15,2001-04,30.076281394238425
16,2001-05,23.04511528805327
17,2001-06,18.534984030983075
18,2001-07,13.253185554465968
19,2001-08,10.513606968111597
20,2001-09,9.056584593347129
21,2001-10,12.525315367119676
22,2001-11,19.953784338691705
23,2001-12,21.12649771785617
24,2002-01,25.082123805660952
25,2002-02,27.20806785884814
26,2002-03,29.514875111026683
27,2002-04,26.700820733195393
28,2002-05,24.08525319217756
29,2002-06,18.76018414770014
30,2002-07,14.437149758950163
31,2002-08,12.41257807807037
32,2002-09,12.861260650432383
33,2002-10,17.19396019982236
34,2002-11,22.279250941694517
35,2002-12,23.465240048672047
36,2003-01,29.86309283114189
37,2003-02,31.017826106727906
38,2003-03,32.039922730563276
39,2003-04,29.948099156453925
40,2003-05,26.917583135239482
41,2003-06,23.233756379648785
42,2003-07,19.35520323658823
43,2003-08,14.504993710627243
44,2003-09,14.833196721311475
45,2003-10,18.40277487126039
46,2003-11,21.012998938935752
47,2003-12,26.46116186535095
48,2004-01,30.485085920533137
49,2004-02,32.4952866245534
50,2004-03,30.32522331123924
51,2004-04,25.52808461987373
52,2004-05,21.81100701842658
53,2004-06,19.81362422409677
54,2004-07,13.858307825006547
55,2004-08,9.798319582282966
56,2004-09,9.869490689161228
57,2004-10,13.785737345525304
58,2004-11,20.068319327285266
59,2004-12,21.83590554132246
60,2005-01,22.455584603615492
61,2005-02,22.863061037720836
62,2005-03,29.128266135449987
63,2005-04,27.423608414239478
64,2005-05,23.253004420530566
65,2005-06,19.93545270306117
66,2005-07,15.36958613360168
67,2005-08,13.720331206070657
68,2005-09,13.838761844129662
69,2005-10,17.32204689561695
70,2005-11,20.31700026526606
71,2005-12,19.890595359726454
72,2006-01,16.860632941937535
73,2006-02,22.44732702758009
74,2006-03,27.95780852582237
75,2006-04,20.45177118149504
76,2006-05,15.26926976531655
77,2006-06,14.997448777123456
78,2006-07,12.526858548156058
79,2006-08,10.591253048420468
80,2006-09,12.880562523210779
81,2006-10,18.013918921000347
82,2006-11,16.13550076927158
83,2006-12,17.743044005072573
84,2007-01,20.463773623654202
85,2007-02,25.667009333575866
86,2007-03,24.638234200838927
87,2007-04,24.211801687092155
88,2007-05,22.07188948160166
89,2007-06,18.836955647514458
90,2007-07,14.93127748712604
91,2007-08,13.1502340673502
92,2007-09,12.566288397262456
93,2007-10,15.020130921636984
94,2007-11,14.830266114913256
95,2007-12,18.625871861089575
96,2008-01,21.126925497887285
97,2008-02,22.82585147661725
98,2008-03,25.649991169207233
99,2008-04,25.717397739933155
100,2008-05,23.828951189333225
101,2008-06,20.897762162448934
102,2008-07,17.460318832692415
103,2008-08,15.425632505532082
104,2008-09,13.695102074380603
105,2008-10,17.178107745940146
106,2008-11,19.95850639291209
107,2008-12,21.379169546086985
108,2009-01,25.61426481083107
109,2009-02,26.048010163479688
110,2009-03,27.31661590672219
111,2009-04,27.920370099209507
112,2009-05,22.670159210978934
113,2009-06,19.06280120961324
114,2009-07,17.363952293182322
115,2009-08,15.790559831188098
116,2009-09,13.596091729004192
117,2009-10,13.882949844177581
118,2009-11,14.8464455408775
119,2009-12,17.620863158651353
120,2010-01,23.949858861341152
121,2010-02,27.00531559082331
122,2010-03,31.019083445857483
123,2010-04,28.133563478168607
124,2010-05,19.364751736637007
125,2010-06,15.963289935805616
126,2010-07,13.970260148993956
127,2010-08,10.667030183855053
128,2010-09,12.419555042707838
129,2010-10,14.259059417886462
130,2010-11,19.855390524696272
131,2010-12,25.14551062005514
132,2011-01,28.728187171733246
133,2011-02,30.72466974375298
134,2011-03,28.21655285896916
135,2011-04,27.034945832670168
136,2011-05,22.605565607142672
137,2011-06,18.996627778662
138,2011-07,16.24496023576163
139,2011-08,12.067638635745203
140,2011-09,10.502881850496046
141,2011-10,12.935352127861666
142,2011-11,16.467463154544006
143,2011-12,19.357628572748787
144,2012-01,19.180325096394263
145,2012-02,20.49013748099689
146,2012-03,22.049933050268777
147,2012-04,24.67023290360231
148,2012-05,19.41410185189939
149,2012-06,16.681387712876013
150,2012-07,14.118183167071413
151,2012-08,11.828939432056805
152,2012-09,10.145274338161178
153,2012-10,13.329349961236927
154,2012-11,14.42244845880418
155,2012-12,16.927521884450105
156,2013-01,19.39260405703049
157,2013-02,25.53060298765376
158,2013-03,28.964657883792924
159,2013-04,26.78710382513661
160,2013-05,19.82785945690625
161,2013-06,15.613524590163934
162,2013-07,11.50335847371042
163,2013-08,9.67501275844188
164,2013-09,7.657705077192423
165,2013-10,11.942896551370058
166,2013-11,14.549810971404318
167,2013-12,19.43060542272286
168,2014-01,22.15586667556592
169,2014-02,19.863108444555603
170,2014-03,21.134201455027135
171,2014-04,24.046922701469573
172,2014-05,22.503393796881497
173,2014-06,18.722553079738976
174,2014-07,16.240568097220866
175,2014-08,14.865211656646457
176,2014-09,14.904975011936974
177,2014-10,17.601734737360932
178,2014-11,21.16610684916972
179,2014-12,22.300635971104825
180,2015-01,23.531528394592684
181,2015-02,25.351009242627498
182,2015-03,23.21641146360122
183,2015-04,21.465771022335403
184,2015-05,21.146098021799737
