,Year,Sea ice conc (%)
0,2000,19.94557650890967
1,2001,20.239267817703347
2,2002,21.128213644559466
3,2003,23.926650330637795
4,2004,20.76403295300268
5,2005,20.440910310274084
6,2006,17.124191815706222
7,2007,18.706792815577586
8,2008,20.419493811473235
9,2009,20.11001605114039
10,2010,20.10121915845977
11,2011,20.260769185822145
12,2012,16.92375212321565
13,2013,17.523145343272454
14,2014,19.622558218633014
15,2015,17.802709825818308
16,2016,15.31382311450188
17,2017,17.38596813754881
